id,user_agent,times_seen,simple_software_string,simple_sub_description_string,simple_operating_platform_string,software,software_name,software_name_code,software_version,software_version_full,operating_system,operating_system_name,operating_system_name_code,operating_system_version,operating_system_version_full,operating_system_flavour,operating_system_flavour_code,operating_system_frameworks,operating_platform,operating_platform_code,operating_platform_vendor_name,software_type,software_sub_type,software_type_specific,hardware_type,hardware_sub_type,hardware_sub_sub_type,hardware_type_specific,layout_engine_name,layout_engine_version,extra_info,extra_info_dict,capabilities,detected_addons,first_seen_at,last_seen_at,updated_at
6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9",62506,Safari 8 on Mac OS X (Yosemite),,,Safari 8,Safari,safari,8,8.0.8,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10.5,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[""600"", ""8"", ""9""]",{},{},[],[],2015-08-15 06:30:23.000000,2019-09-27 00:00:00.000000,NULL
25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",87653,Edge 20 on Windows 10,,,Edge 20,Edge,edge,20,20.10240,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,EdgeHTML,"[""12"", ""10240""]","{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2015-07-31 00:40:57.000000,2019-09-28 06:01:00.909420,NULL
26,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,359249,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2013-11-02 15:13:17.000000,2019-09-28 22:00:21.232933,NULL
29,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko,25038,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}",[],[],2013-12-10 10:30:14.000000,2019-09-28 06:46:46.000000,NULL
38,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,2142360,Internet Explorer 11 on Windows 7,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2013-11-13 22:09:16.000000,2019-09-29 00:00:11.923700,NULL
46,"Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",33906,Safari 8 on iOS 8.4,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.4,iOS,ios,8.4,8.4,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12H143""}",[],[],2015-07-01 07:38:38.000000,2019-09-28 15:00:13.286227,NULL
51,Mozilla/5.0 (Windows NT 10.0; Trident/7.0; rv:11.0) like Gecko,17129,Internet Explorer 11 on Windows 10,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]",{},{},[],[],2015-08-27 11:03:09.000000,2019-09-28 01:00:39.780952,NULL
59,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,557308,Internet Explorer 11 on Windows 10,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-08-10 13:17:39.000000,2019-09-29 00:00:14.704849,NULL
62,"Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4",62381,Safari 8 on iOS 8.3,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.3,iOS,ios,8.3,8.3,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12F69""}",[],[],2015-04-10 01:25:55.000000,2019-09-27 00:00:00.000000,NULL
68,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,745323,Internet Explorer 11 on Windows 7,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2013-11-15 10:33:02.000000,2019-09-28 18:00:31.671040,NULL
74,"Mozilla/5.0 (iPad; CPU OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",27616,Safari 8 on iOS 8.4,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.4,iOS,ios,8.4,8.4.1,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12H321""}",[],[],2015-08-14 13:38:33.000000,2019-09-28 00:00:00.000000,NULL
85,"Mozilla/5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4",24818,Safari 8 on iOS 8.2,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.2,iOS,ios,8.2,8.2,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12D508""}",[],[],2015-03-11 10:13:55.000000,2019-09-25 19:50:50.000000,NULL
95,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; NP06; rv:11.0) like Gecko,14114,Internet Explorer 11 on Windows 7,,Asus,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,Asus,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2013-12-19 14:51:03.000000,2019-09-27 00:00:00.000000,NULL
100,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,61231,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},"[""Touch capability""]",[],2014-01-26 21:21:41.000000,2019-09-28 16:00:50.284043,NULL
158,Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; Touch; LCJB; rv:11.0) like Gecko,2022,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""64-bit Edition""]}","{""Hardware Architecture"": ""64-bit processor (AMD)""}","[""Touch capability""]",[],2014-11-25 09:35:09.000000,2019-09-26 00:00:00.000000,NULL
254,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; Microsoft; Lumia 640 LTE) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537",9752,Internet Explorer Mobile 11 on Windows Phone 8.1,,Microsoft Lumia 640,Internet Explorer Mobile 11,Internet Explorer Mobile,internet-explorer-mobile,11,11.0,Windows Phone 8.1,Windows Phone,windows-phone,8.1,8.1,,,[],Lumia 640,,Microsoft,browser,web-browser,,mobile,phone,,,Trident,"[""7"", ""0""]",{},"{""Hardware Architecture"": ""ARM""}","[""Touch capability""]",[],2015-05-19 17:19:16.000000,2019-09-28 06:45:10.000000,NULL
255,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; Touch; rv:11.0) like Gecko,78401,Internet Explorer 11 on Windows 10,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},"[""Touch capability""]",[],2015-08-31 20:24:20.000000,2019-09-28 23:00:50.064506,NULL
276,Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko,17670,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]",{},"{""Hardware Architecture"": ""ARM""}","[""Touch capability""]",[],2013-12-08 16:45:40.000000,2019-09-27 11:00:42.540948,NULL
278,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; LCJB; rv:11.0) like Gecko,33468,Internet Explorer 11 on Windows 8.1,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2014-04-13 03:19:33.000000,2019-09-28 05:51:29.000000,NULL
300,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 630) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537",4737,Internet Explorer Mobile 11 on Windows Phone 8.1,,Nokia Lumia 630,Internet Explorer Mobile 11,Internet Explorer Mobile,internet-explorer-mobile,11,11.0,Windows Phone 8.1,Windows Phone,windows-phone,8.1,8.1,,,[],Lumia 630,630,Nokia,browser,web-browser,,mobile,phone,,,Trident,"[""7"", ""0""]",{},"{""Hardware Architecture"": ""ARM""}","[""Touch capability""]",[],2015-03-23 21:42:32.000000,2019-09-27 18:30:01.000000,NULL
328,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36",12579,Chrome 43 on Windows 7,,,Chrome 43,Chrome,chrome,43,43.0.2357.134,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2015-07-14 20:32:33.000000,2019-09-25 19:51:44.000000,NULL
